 12/09-17:19:13.013   	Copelabs4	7a:4b:87:e3:44:04	15.0318322184264
 12/09-17:20:13.013   	Copelabs4	7a:4b:87:e3:44:04	10.201122744435958
 12/09-17:21:14.014   	Copelabs4	7a:4b:87:e3:44:04	6.535704730532478
 12/09-17:22:14.014   	Copelabs4	7a:4b:87:e3:44:04	4.699115314305414
 12/09-17:23:14.014   	Copelabs4	7a:4b:87:e3:44:04	3.884032595219162
 12/09-17:24:14.014   	Copelabs4	7a:4b:87:e3:44:04	5.6968646357689945
 12/09-17:25:14.014   	Copelabs4	7a:4b:87:e3:44:04	5.6968646357689945
 12/09-17:26:14.014   	Copelabs4	7a:4b:87:e3:44:04	6.450033547784687
 12/09-17:27:14.014   	Copelabs4	7a:4b:87:e3:44:04	6.450033547784687
 12/09-17:28:15.015   	Copelabs4	7a:4b:87:e3:44:04	4.143082868015121
 12/09-17:29:15.015   	Copelabs4	7a:4b:87:e3:44:04	2.8224942286728223
 12/09-17:30:15.015   	Copelabs4	7a:4b:87:e3:44:04	3.1507502483335545
 12/09-17:31:17.017   	Copelabs4	7a:4b:87:e3:44:04	2.2270946568638825
 12/09-17:32:17.017   	Copelabs4	7a:4b:87:e3:44:04	1.609319533462638
 12/09-17:33:17.017   	Copelabs4	7a:4b:87:e3:44:04	1.2386544594218913
 12/09-17:34:17.017   	Copelabs4	7a:4b:87:e3:44:04	1.046384152285464
 12/09-17:35:18.018   	Copelabs4	7a:4b:87:e3:44:04	0.9310219680036075
 12/09-17:36:18.018   	Copelabs4	7a:4b:87:e3:44:04	0.7801027874242213
 12/09-17:37:18.018   	Copelabs4	7a:4b:87:e3:44:04	0.7712531490868619
 12/09-17:38:18.018   	Copelabs4	7a:4b:87:e3:44:04	0.6622316353615151
 12/09-17:39:18.018   	Copelabs4	7a:4b:87:e3:44:04	0.7339834890806587
 12/09-17:40:18.018   	Copelabs4	7a:4b:87:e3:44:04	0.661879700070452
 12/09-17:41:19.019   	Copelabs4	7a:4b:87:e3:44:04	0.6430557743714043
 12/09-17:42:19.019   	Copelabs4	7a:4b:87:e3:44:04	0.6073230712448994
 12/09-17:43:19.019   	Copelabs4	7a:4b:87:e3:44:04	0.825217928337282
 12/09-17:44:19.019   	Copelabs4	7a:4b:87:e3:44:04	0.9101618408732721
 12/09-17:45:21.021   	Copelabs4	7a:4b:87:e3:44:04	0.9101618408732721
 12/09-17:46:21.021   	Copelabs4	7a:4b:87:e3:44:04	0.9101618408732721
 12/09-17:47:21.021   	Copelabs4	7a:4b:87:e3:44:04	0.9101618408732721
 12/09-17:48:21.021   	Copelabs4	7a:4b:87:e3:44:04	0.9198857279167555
 12/09-17:49:22.022   	Copelabs4	7a:4b:87:e3:44:04	0.9952085962434767
 12/09-17:50:28.028   	Copelabs4	7a:4b:87:e3:44:04	0.9952085962434767
 12/09-17:51:28.028   	Copelabs4	7a:4b:87:e3:44:04	1.1652506291225113
 12/09-17:52:29.029   	Copelabs4	7a:4b:87:e3:44:04	1.1110157617092122
 12/09-17:53:29.029   	Copelabs4	7a:4b:87:e3:44:04	0.939672196369836
 12/09-17:54:29.029   	Copelabs4	7a:4b:87:e3:44:04	0.8368660571662103
 12/09-17:55:30.030   	Copelabs4	7a:4b:87:e3:44:04	0.838764142163476
 12/09-17:56:30.030   	Copelabs4	7a:4b:87:e3:44:04	0.8064499619304147
 12/09-17:57:30.030   	Copelabs4	7a:4b:87:e3:44:04	0.8064499619304147
 12/09-17:58:32.032   	Copelabs4	7a:4b:87:e3:44:04	0.8205144850219985
 12/09-17:59:32.032   	Copelabs4	7a:4b:87:e3:44:04	0.7382366453423321
 12/09-18:00:33.033   	Copelabs4	7a:4b:87:e3:44:04	0.779586495069149
 12/09-18:01:33.033   	Copelabs4	7a:4b:87:e3:44:04	0.8043964049052391
 12/09-18:02:38.038   	Copelabs4	7a:4b:87:e3:44:04	0.8043964049052391
 12/09-18:03:39.039   	Copelabs4	7a:4b:87:e3:44:04	0.9536324399593306
 12/09-18:04:39.039   	Copelabs4	7a:4b:87:e3:44:04	0.9536324399593306
 12/09-18:05:40.040   	Copelabs4	7a:4b:87:e3:44:04	0.9536324399593306
